Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13
    Arab,,2965,820,1775,440,1190,380,0.276559865,,0.247887324,,0.319327731
    Black,,6345,2170,3405,1215,2935,960,0.342001576,,0.356828194,,0.327086882
    Chinese,,167180,1205,77560,130,89625,1070,0.0072078,,0.001676122,,0.011938633
    Filipino,,36460,2145,15560,1000,20900,1145,0.058831596,,0.064267352,,0.054784689
    Japanese,,10315,675,3930,350,6385,325,0.065438682,,0.089058524,,0.050900548
    Korean,,9360,1535,4045,555,5315,980,0.163995726,,0.137206428,,0.184383819
    Latin American,,10935,7145,5370,3785,5560,3365,0.653406493,,0.704841713,,0.605215827
    South Asian,97,37130,7720,18875,4420,18260,3295,0.207918126,,0.234172185,,0.180449069
    Southeast Asian,98,17120,3465,8075,1405,9045,2065,0.20239486,,0.173993808,,0.22830293
    West Asian,99,8630,3470,4500,1570,4130,1900,0.402085747,,0.348888889,,0.460048426
